negative	@Nessie__Cullen_ lol  emmett wont do a dance off again ,,,
neutral		"RT @BEAUTIFULPlCS: Blue 'lava' of Kawah Ijen, #Indonesia. http://t.co/CwIQKAkLHk"
positive	@veronica78 guess i better make more tweets for @JonathanRKnight to give us a &quot;sweet&quot; bedtime story!  plz!,,,
neutral		is BAKING ! HAHAHA. With abby and nikki !  http://plurk.com/p/mzsld,,,
positive	Wooohhooo the beach was awsome  .. haha i luve ..it The water was soooo cold .. went to seattle to Aqui bech or somethin like that =P,,,
neutral		"@GhostTheory sorry, I'm a little late on this response to the 'sample of EVP question'... which one are you referring to?   J",,,
positive	@ddlovato Pollen and salt - daphne loves derby . = love. i love your little song tweets so i decided to send you on of my own ,,,
neutral		Finally almost home ,,,
positive	it worked! Now i have this feeling that i might have to sleep outside... ,,,
neutral		"@point_moot Odd, I was just listening to the scotch_mist version of &quot;15 Step&quot; when you replied. ",,,
neutral		@shanzer22 i know right ,,,
negative 	"Work-JK administration Jokowi slow, Indonesia Threatened Recession http://t.co/1PeDtwrEbo"
neutral		So far kinda really liking Espresso over Dreamweaver. Handcoding html/css ftw ,,,
positive	"@KnightOwl89 Sounds good,  I wish i could have done it but I'm determined to find them in the park. They better be in there!",,,
positive	"@WeTheTRAVIS &quot;Don't Speak Liar&quot; is my favorite of your songs, I'm looking forward to hearing it in Orlando  Get well soon!  ((((hugs))))",,,
neutral		"wanted greg pritchard to go through     what a silly, sobby and hopelessly dull little girl hollie steel is?",,,
neutral		"@StacieLane Oh...well, never mind then.  lol But what if a guy you really liked had a mama like that?",,,
positive	RTbismakarisma: Excitement morning to # BismaKarismaDiPro2FM creations along with warm milk. 9 hours later Pro2 yes in Indonesia! http://t.co/Y8...
neutral 	"Most SMEs Tahan, BRI KUR Want Distributes Rp 21 T: Bank Rakyat Indonesia (BRI) targeted disbursement of Kred ... http://t.co/i1b2xJSceU"
negative 	So pay his debt and Because you selected the marilih na Montong Carica it. You do that you also ... http://t.co/ghypPhaD6t
negative	Rieke Diah Pitaloka criticism Jokowi Problem Indonesian Foreign Workers http://t.co/rUcv9gpfsV
neutral		Jobs Medan on PT Bank ANZ Indonesia Medan http://t.co/dJLCTsAqqv
neutral		"Work-JK administration Jokowi slow, Indonesia Threatened Recession http://t.co/aoAvd9WN2Q"
neutral 	"This he Indonesian artist who often sexy photos on Instagram, this picture http://t.co/0TSKfG8hCW"
neutral 	Training again 😴 (at Gedung OPMC TELKOM Indonesia) — https://t.co/j9byQL8voe
neutral		"Defeat NTT, Maluku Utara (North Maluku) champions Desa Indonesia (sticks) 2015 | http://t.co/MibWeesQ4Z http://t.co/ff9AVECEby"
neutral		"= | News | = SMBs Most Tahan, BRI KUR Want Distributes Rp 21 T: Bank Rakyat Indonesia (BR ... http://t.co/pJ7mnKIYwb & lt; - Read More"
positive	"RT @nytimestravel: From Papua to Bali, Indonesia offers beauty, intimacy &amp; great deals. The @frugaltraveler: http://t.co/GKg3ZIkTsq http://…"
neutral		#memek #tante Artist Photo Sweet Adeline Rashia: set of photos Artis Sexy Adelia Rashia Beautiful Indonesia - Arena ... http://t.co/7gwaX20AVI
neutral		@Wwailord mkay deal ,,,
positive	@wmmarc great interview! Glad to see it ,,,
positive	@JonathanRKnight A truly great place to eat is the Canteen in Ottumwa.  Loose meat hamburgers in a tiny cafe.  Everyone's friendly. ,,,
neutral		Uploading photos first before leaving ,,,
neutral		@ddlovato PLEASE FOLLOW ME DEMI!!! ,,,
positive	"Coding on my Hp Mini 100positive	 I had said I won't this but this keyboard doesn't hurts  ",,,
positive	@BkBap Ahhh sound advice. ,,,
positive	"@abigaillovesyou LOL, well, that happens. But its worth it.  You've got me wanting to make a midnight run to the convenience store.",,,
neutral		@DaveB41 can you help? ,,,
neutral 	RT @BBCNewsAsia: Indonesia's motorbike revolutionary - Meet GoJek founder Nadiem Makarim http://t.co/rhmj6UQ6NA http://t.co/hYngLcTKwH
neutral 	"Annyeong! We Are Fanbase From Indonesia =D Please Follow , And Enjoy :D"
positive 	RTkomnas_anak: 1500 + 500 Wali student elementary school students ISLAM PB Sudirman Will execute DECLARATION OF INDONESIA AGAINST CHILD ABUSE ... http: / ...
